Country,Year,CO2_Emissions,LandAverageTemperature
World,1751,0.0,0.5421424751247435
World,1752,6.23616687430198e-06,0.0
World,1753,1.2472333748603962e-05,0.6438268811453489
World,1754,1.8710943304799522e-05,0.663882832105978
World,1755,2.495199554288865e-05,0.6358045007610977
World,1756,3.162295979424733e-05,0.7577446826017198
World,1757,3.829636672749959e-05,0.8003044390504797
World,1758,4.497221634264542e-05,0.23789443370222574
World,1759,5.1650508639684836e-05,0.544349364380631
World,1760,5.8328800936724246e-05,0.34689595589747824
World,1761,6.564463320798725e-05,0.7387172419467642
World,1762,7.296290816114382e-05,0.6977413913687416
World,1763,8.028362579619398e-05,0.4238079565557247
World,1764,8.760678611313771e-05,0.6468507014440288
World,1765,9.493238911197501e-05,0.6102151643559468
World,1766,0.00010310560272788352,0.6481671946352905
World,1767,0.0001112812590256856,0.6027070391245322
World,1768,0.00011945935800538126,0.2472127370716255
World,1769,0.0001276398996669705,0.4726416258690913
World,1770,0.00013582288401045334,0.47198337927346046
World,1771,0.00014489744724509174,0.5117867281030157
World,1772,0.00015397445316162373,0.5957954498704079
World,1773,0.00016305390176004928,0.6027070391245322
World,1774,0.00017213579304036845,0.7386349611223109
World,1775,0.00018122012700258114,0.840066647467808
World,1776,0.000191244893493821,0.623071543176863
World,1777,0.00020127210266695443,0.611284815073847
World,1778,0.00021130175452198144,0.68188176245526
World,1779,0.000221333849058902,0.790739293207718
World,1780,0.00023137082895960973,0.9017361253959764
World,1781,0.00024259983762438305,0.5733533550006173
World,1782,0.0002538312889710499,0.5236557370304851
World,1783,0.00026506762568150386,0.46924754186036943
World,1784,0.0002763064050738515,0.5139671699510429
World,1785,0.0002875525125118798,0.39079277574361293
World,1786,0.00030032041076960656,0.6117579298144569
World,1787,0.0003130931943911205,0.5558892500102852
World,1788,0.00032586842069452803,0.6584111572797959
World,1789,0.00033864853236172267,0.6305179577899369
World,1790,0.0003514335293927045,0.5436705475788868
World,1791,0.0003657134477425554,0.6058542806598926
World,1792,0.0003803109147385713,0.5700004114041224
World,1793,0.0003949205951440551,0.6045994980869707
World,1794,0.0004095082914124967,0.6778705722631346
World,1795,0.00042410331572661906,0.6345085777759496
World,1796,0.0004394042751079852,0.6149257415559304
World,1797,0.00045546735124014725,0.6740650841321432
World,1798,0.00047219727952925585,0.7134775990455426
World,1799,0.0004898163440276265,0.6728720121775624
World,1800,0.000508544386105681,0.6675648990002885
